cat,name,value,desc,descitem,unidad,q
Hockey,Hockey,20,Pelotas Oficiales de Hockey,,Unidad,400
Hockey,Hockey,20,Arcos,,Unidad,8
Hockey,Hockey,20,Redes,,Unidad,8
Hockey,Hockey,20,Tablas de Rebote,,Set,4
Hockey,Hockey,20,Banquillos de los penalizados,,Unidad,4
Hockey,Hockey,20,Estantes para palos,,Set,4
Hockey,Hockey,20,Mesas tecnicas,,Set,2
Hockey,Hockey,20,Bancos de Jugadores,"Similar al banquillo del jugador de fútbol; con un techo de protección transparente; 2 por lado. Para el YOG, el banquillo del equipo debe ser capaz de acomodar a 8 personas. Sin embargo, si se planifica reutilizar estos articulos para hockey de 11 , la capacidad debe ser para 11 personas.",Par,2
Hockey,Hockey,20,Máquina de Limpieza del campo de juego,Para mantener la calidad del campo de juego,Unidad,1
Natación,Natación,20,Bloques de inicio,,Unidad,2
Natación,Natación,20,Podios de salida,,Unidad,40
Natación,Natación,20,"Línea indicadora de giro y poste (1,8m de altura) ubicados a la distancia de 5m para brazada de espalda","Palos (varas) de 1,8-Metros de Altura",Set,8
Natación,Natación,20,Partes incorporadas de los Ganchos para las sogas de tierra,Parte incorporada de los ganchos,Set,22
Natación,Natación,20,Banderas de señal de 5 metros,La reglamentación exige que el emblema se visualice a ambos lados del triángulo invertido,Unidad,4
Natación,Natación,20,Sogas de Carril de 50 metros,"50-metros de largo; 11 sogas por set, incluye 3 amarillas, 4  azues  y 4  verdes; tensores de soga y cubiertas protectoras se incluirán",Par,2
Natación,Natación,20,Contador de vueltas y Plataforma para la natación de larga distancia,"Plástico, portátil y plegable",Set,15
Natación,Natación,20,"Sogas de Falsa largada, Parte incorporada de la Soga y el Palo (vara) para brazada de espalda",,Set,8
Natación,Natación,20,Carretel de almacenamiento de Soga ,(11 sogas por carretel) Acero inoxidable,Unidad,18
Natación,Natación,20,Medidor laser de la temperatura,,Unidad,1
Natación,Natación,20,Termómetro sumergible,,Unidad,1
Natación,Natación,20,Medidor de piscina,El dispositivo de medición de distancia más avanzado utilizado para medir la longitud de la piscina al chequear el Record Mundial,Unidad,1
Natación,Natación,20,Sillas de Guardavidas,Usado por el guardavidas para emergencias,Unidad,4
Natación,Natación,20,Relojes de entrenamiento,Para medir el tiempo,Unidad,4
Natación,Natación,20,Señalización de línea,Para indicación,Unidad,1
Natación,Natación,20,Tensores de Soga de carril,Usado para ajustar las sogas de tierra,Unidad,4
Natación,Natación,20,Plataformas para brazada de espalda,Responsabilidad de Timing & Scoring,Unidad,15
Natación,Natación,20,Contadores de vueltas sumergibles,Responsabilidad de Timing & Scoring,Unidad,10
Clavado,Clavado,20,Trampolínes,Modelo Maxiflex B,Par,15
Clavado,Clavado,20,Asientos del juez (2m),Malmsten,Unidad,10
Clavado,Clavado,20,"Asientos del juez (2,5m)",Malmsten,Unidad,5
Clavado,Clavado,20,Asientos del juez (3m),Malmsten,Unidad,2
Tiro,Tiro,20,Polígonos de Calificación,40 comienzos en la clasificacion para los eventos de equipos mixtos,Unidad,40
Tiro,Tiro,20,Polígonos de  Finales,8 más 2 para la final,Unidad,10
Tiro,Tiro,20,Dispositivo de Medición de Rigidez,Para medir la rigidez de las prendas del tirador de acuerdo con la Regla 6.5.2,Unidad,1
Tiro,Tiro,20,Mesa para el Dispositivo de Medición de Rigidez,Para facilitar las medidas de rigidez de las prendas del tirador de acuerdo con la Regla 6.5.2,Unidad,1
Tiro,Tiro,20,Dispositivo de Medición de Espesor,Para medir el espesor de la ropa del tirador de acuerdo con la Regla 6.5.1,Unidad,1
Tiro,Tiro,20,Dispositivo de superposición de chaqueta Versión 1,Para medir la superposición de la chaqueta del tirador de acuerdo con la Regla 7.5.4.2,Unidad,1
Tiro,Tiro,20,Dispositivo de prueba de flexibilidad de la suela de zapato,Para medir la flexibilidad de la suela de zapato del tirador de acuerdo con la Regla 6.5.3,Unidad,1
Tiro,Tiro,20,Dispositivo de Medición de la Dimensión del Zapato,Para medir las Dimensiónes externas de los zapatos de los tiradores de acuerdo con la Regla 7.5.3.6,Unidad,1
Tiro,Tiro,20,Plantilla de la Dimensión del Rifle,Para verificar las Dimensiónes externas del rifle de acuerdo con la Regla 7.4.4.1,Unidad,1
Tiro,Tiro,20,Caja de Medición de AP 10m ,Para comprobar las Dimensiónes externas de la Pistola de 10m de acuerdo con la Regla 8.12 // 420x200x50mm,Unidad,1
Tiro,Tiro,20,Peso del Gatillo de Pistola de Aire 10 m 500g ,Para comprobar el peso del gatillo de la pistola de 10m // Requiere un peso de 500 g ,Unidad,2
Tiro,Tiro,20,Balanza para rango de 10 kgs,"Para comprobar el peso de los rifles // La balanza debe ser calibrada y si es posible con un certificado // Debe medir el peso en incrementos de 1.0 de 0.0g a 10,000.0g // Para comprobar el peso de la pistola",Unidad,2
Vela,Veleros de Competición ,20,Tablas de Windsurf ,Techno 293+ clase,Unidad,48
Vela,Veleros de Competición ,20,Catamaranes,Nacra 15 clase,Unidad,14
Vela,Veleros del Comité de Regata ,20,Embarcaciones de largada,Veleros de Comité de Regata Primario,Unidad,3
Vela,Veleros del Comité de Regata ,20,Embarcaciones de Pin end de Largada,RIB u otros ,Unidad,3
Vela,Veleros del Comité de Regata ,20,Embarcaciones de Llegada,RIB u otros ,Unidad,3
Vela,Veleros del Comité de Regata ,20,Embarcaciones de Pin end de Llegada,RIB u otros ,Unidad,3
Vela,Barcos de Marcado y Control,20,Barcos de Rescate,RIB - 1:10 ratio - Barcos de seguridad: competidores,Unidad,6
Vela,Barcos de Marcado y Control,20,Barcos de Jurado,RIB - Basado en un Jurado Internacional de 12 por lo menos 6 RIBs serán requeridos * Necesita ser aprobado por el COI*,Unidad,6
Vela,Barcos de Marcado y Control,20,Barcos de PRO,RIB,Unidad,3
Vela,Barcos de Marcado y Control,20,Barco de Delegado Técnico de Vela Mundial,RIB,Unidad,3
Vela,Barcos de Marcado y Control,20,Prensa / Barcos de TV / Familia Olímpica / Entrenador,,,1
Vela,Barcos de Marcado y Control,20,Barco de Prensa,Suficientes para la prensa registrada,Unidad,1
Vela,Barcos de Marcado y Control,20,Barco de Fotografía,Suficiente para fotografos registrados,Unidad,1
Vela,Barcos de Marcado y Control,20,Barco para la Familia Olímpica y Vela Mundial e invitados,Suficiente para guests registrados,Unidad,1
Vela,Barcos de Marcado y Control,20,Barcos para entrenadores,Lo suficientemente grande para permitir que todos los entrenadores que necesitan estar en el agua durante la competición para los atletas entran,Unidad,3
Canotaje,Canotaje,20,Kayak ,Kayak tipo competición,Unidad,36
Canotaje,Canotaje,20,Canoa ,Canoa tipo competición (con bloqueo de rodilla),Unidad,30
Canotaje,Canotaje,20,Kayak / canoa híbridos de slalom,"Kayak Slalom de Competición (con sistema de montaje, reposapiés adaptables) (2 talles, L, M)",Unidad,45
Canotaje,Canotaje,20,Palas de Kayak ,Remo de kayak de Carreras Profesionales,Unidad,15
Canotaje,Canotaje,20,Palas de Canoa ,Remo de Canoa de Carreras Profesionales,Unidad,15
Canotaje,Canotaje,20,Palas de Kayak Slalom,Remo de Kayak Slalom Profesional,Unidad,10
Canotaje,Canotaje,20,Palas de Canoa Slalom,Remo de Canoa Slalom de Carrera Profesional,Unidad,10
Canotaje,Canotaje,20,Kayak Ergómetros,Ergometros para simular remada de kayak,Unidad,6
Canotaje,Canotaje,20,Aspersión de la cubierta del Kayak y Conoa Slalom,Aspersión cubierta para no permitir que el agua entre en los barcos. (35 kayak 25 canoa),Unidad,60
Canotaje,Canotaje,20,Deslizadores de largada en pontón para CSL (slalom),Para el FOP,Unidad,2
Canotaje,Canotaje,20,Número de placa de barco con número 1 y 2,Para competición (20/20),Unidad,40
Canotaje,Canotaje,20,Herramientas y materias primas para la reparación de embarcaciones,Necesita 1 experto para trabajar en esta área.,Kit,1
Canotaje,Canotaje,20,Pista de Canotaje,"Sprint de proa y el curso slalom de competición y de entrenamiento
Incluye boyas y todos los accesorios necesarios",Unidad,1
Gimnasia,Gimnasia Artística,20,Piso de ejercicios,,Set,5
Gimnasia,Gimnasia Artística,20,Caballos con arzones,Incluyendo colchonetas circundantes para la proteción del piso y elementos especiales del equipamiento,Set,3
Gimnasia,Gimnasia Artística,20,Anillas,Incluyendo colchonetas circundantes para la proteción del piso y elementos especiales del equipamiento,Set,3
Gimnasia,Gimnasia Artística,20,Mesas de salto,Incluyendo colchonetas circundantes para la proteción del piso y elementos especiales del equipamiento,Set,5
Gimnasia,Gimnasia Artística,20,Barras paralelas,Incluyendo colchonetas circundantes para la proteción del piso y elementos especiales del equipamiento,Set,3
Gimnasia,Gimnasia Artística,20,Barras horizontal,Incluyendo colchonetas circundantes para la proteción del piso y elementos especiales del equipamiento,Set,3
Gimnasia,Gimnasia Artística,20,Barras asimétricas,Incluyendo colchonetas circundantes para la proteción del piso y elementos especiales del equipamiento,Set,3
Gimnasia,Gimnasia Artística,20,Vigas,Incluyendo colchonetas circundantes para la proteción del piso y elementos especiales del equipamiento,Set,3
Gimnasia,Gimnasia Artística,20,Trampolines,,Unidad,23
Gimnasia,Gimnasia Artística,20,Colchonetas de aterrizaje para Mesa de salto,,Unidad,5
Gimnasia,Gimnasia Artística,20,Colchonetas de aterrizaje para Barra horizontal,,Unidad,6
Gimnasia,Gimnasia Artística,20,Colchonetas de aterrizaje para Anillas,,Unidad,9
Gimnasia,Gimnasia Artística,20,Colchonetas de aterrizaje para Barras asimétricas,,Unidad,3
Gimnasia,Gimnasia Artística,20,Colchonetas de aterrizaje para Viga,,Unidad,3
Gimnasia,Gimnasia Artística,20,Colchonetas de mano para Mesa de salto,,Unidad,5
Gimnasia,Gimnasia Artística,20,Montículos,,Unidad,9
Gimnasia,Gimnasia Artística,20,Estabilizadores de anillas,,Unidad,3
Gimnasia,Gimnasia Artística,20,Contenedores de polvo de magnesio,,Unidad,25
Gimnasia,Gimnasia Artística,20,Polvo de magnesio,,Unidad,450
Gimnasia,Gimnasia Artística,20,Contenedor de polvo de magnesio para pies,,Unidad,15
Gimnasia,Gimnasia Artística,20,Colchonetas de aterrizaje,,Unidad,7
Gimnasia,Gimnasia Artística,20,Colchonetas de aterrizaje,,Unidad,12
Gimnasia,Gimnasia Artística,20,Colchonetas de aterrizaje para Acrobática,,Unidad,2
Gimnasia,Gimnasia Artística,20,Podios de competición,,Metros Cuadrados,1027
Gimnasia,Gimnasia - Trampolín,20,"Trampolín (incluyendo colchonetas circundantes de protección de piso, plataforma de seguridad y colchonetas en ambos extremos)",Incluyendo colchonetas circundantes para la proteción del piso; se requiere un certificado de autenticación internacional válido.,Par,5
Gimnasia,Gimnasia - Trampolín,20,Colchoneta corrediza,Para competición,Par,7
Gimnasia,Gimnasia - Trampolín,20,Cama trampolín de reserva,Para competición ,Unidad,1
Gimnasia,Gimnasia - Trampolín,20,Resortes de reserva,Para competición ,Unidad,400
Gimnasia,Gimnasia - Trampolín,20,Contenedores de polvo de magnesio,Igual al utilizado en gimnasia artisticas,Unidad,4
